movieId,title,genres,avg_rating,rating_count,tag_count,comprehensive_score,tags
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209,215,2,79.1307,fun|pixar
2,Jumanji (1995),Adventure|Children|Fantasy,3.4318,110,4,69.9081,Robin Williams|fantasy|game|magic board game
3,Grumpier Old Men (1995),Comedy|Romance,3.2596,52,2,63.8154,moldy|old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.3571,7,0,41.9645,
5,Father of the Bride Part II (1995),Comedy,3.0714,49,2,60.9295,pregnancy|remake
6,Heat (1995),Action|Crime|Thriller,3.9461,102,0,75.2255,
7,Sabrina (1995),Comedy|Romance,3.1852,54,1,62.5401,remake
8,Tom and Huck (1995),Adventure|Children,2.875,8,0,49.7223,
9,Sudden Death (1995),Action,3.125,16,0,55.964,
10,GoldenEye (1995),Action|Adventure|Thriller,3.4962,132,0,70.0294,
11,"American President, The (1995)",Comedy|Drama|Romance,3.6714,70,2,70.8412,politics|president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.4211,19,0,46.8094,
13,Balto (1995),Adventure|Animation|Children,3.125,8,0,53.2223,
14,Nixon (1995),Drama,3.8333,18,2,67.4249,politics|president
15,Cutthroat Island (1995),Action|Adventure|Romance,3.0,13,0,53.377,
16,Casino (1995),Crime|Drama,3.9268,82,1,74.6971,Mafia
17,Sense and Sensibility (1995),Drama|Romance,3.7761,67,1,71.7278,Jane Austen
18,Four Rooms (1995),Comedy,3.7,20,0,64.925,
19,Ace Ventura: When Nature Calls (1995),Comedy,2.7273,88,0,57.5324,
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,15,0,46.9527,
21,Get Shorty (1995),Comedy|Crime|Thriller,3.4944,89,1,68.9919,Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222,36,1,61.3496,serial killer
23,Assassins (1995),Action|Crime|Thriller,3.125,16,0,55.964,
24,Powder (1995),Drama|Sci-Fi,3.125,28,0,58.2665,
25,Leaving Las Vegas (1995),Drama|Romance,3.625,76,1,70.148,alcoholism
26,Othello (1995),Drama,3.5,13,1,61.0488,Shakespeare
27,Now and Then (1995),Children|Drama,3.3333,9,0,56.5932,
28,Persuasion (1995),Drama|Romance,4.2273,11,1,70.5661,Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0132,38,1,72.6497,kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.0,3,0,47.9763,
31,Dangerous Minds (1995),Drama,3.1842,38,2,61.4374,high school|teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.9831,177,8,80.231,Brad Pitt|Bruce Willis|Post apocalyptic|mindfuck|post-apocalyptic|remake|time travel|twist ending
34,Babe (1995),Children|Drama,3.6523,128,3,73.4271,Animal movie|pigs|villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,3.8358,67,2,72.9566,Nun|death penalty
38,It Takes Two (1995),Children|Comedy,2.125,4,1,37.3601,twins
39,Clueless (1995),Comedy|Romance,3.2933,104,7,68.1844,Emma|Jane Austen|Paul Rudd|chick flick|funny|quotable|seen more than once
40,"Cry, the Beloved Country (1995)",Drama,4.25,2,1,64.9079,South Africa
41,Richard III (1995),Drama|War,3.7,15,1,64.4245,Shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,3.0,7,0,50.9645,
43,Restoration (1995),Drama,3.1875,8,1,54.7691,England
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.5435,46,0,52.2068,
45,To Die For (1995),Comedy|Drama|Thriller,3.3125,32,1,62.1203,Journalism
46,How to Make an American Quilt (1995),Drama|Romance,3.0667,15,1,55.5578,wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.9754,203,3,79.9252,mystery|serial killer|twist ending
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.1471,68,0,62.3121,
49,When Night Is Falling (1995),Drama|Romance,3.0,1,0,44.9882,
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.2377,204,6,84.1619,heist|mindfuck|suspense|thriller|tricky|twist ending
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.4643,28,2,64.0812,adoption|prostitution
53,Lamerica (1994),Adventure|Drama,5.0,2,0,74.7361,
54,"Big Green, The (1995)",Children|Comedy,2.3333,3,0,38.643,
55,Georgia (1995),Drama,4.0,1,0,58.9882,
57,Home for the Holidays (1995),Drama,3.0625,8,0,52.3473,
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.027,37,1,72.7319,writing
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.2353,34,0,60.6213,
61,Eye for an Eye (1996),Drama|Thriller,3.75,6,0,60.8889,
62,Mr. Holland's Opus (1995),Drama,3.7062,80,1,71.5038,music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.7143,7,0,46.9645,
64,Two if by Sea (1996),Comedy|Romance,2.2,5,0,38.5243,
65,Bio-Dome (1996),Comedy,2.5323,31,0,50.3925,
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.5,9,0,44.9265,
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4,5,0,55.3243,
69,Friday (1995),Comedy,3.775,20,0,65.975,
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.5091,55,0,66.4806,
71,Fair Game (1995),Action,1.7,5,0,31.5243,
72,Kicking and Screaming (1995),Comedy|Drama,3.2143,7,0,53.9645,
73,"Misérables, Les (1995)",Drama|War,3.4615,13,0,59.8386,
74,Bed of Roses (1996),Drama|Romance,4.0,8,0,65.4723,
75,Big Bully (1996),Comedy|Drama,2.2,5,0,38.5243,
76,Screamers (1995),Action|Sci-Fi|Thriller,3.4,15,0,59.5527,
77,Nico Icon (1995),Documentary,4.0,1,0,58.9882,
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.3333,3,0,52.643,
79,"Juror, The (1996)",Drama|Thriller,2.7647,17,0,51.1663,
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.0,2,0,60.7361,
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.1071,14,0,55.1745,
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.875,8,0,63.7223,
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.0,1,0,44.9882,
85,Angels and Insects (1995),Drama|Romance,3.8571,7,0,62.9645,
86,White Squall (1996),Action|Adventure|Drama,3.9667,15,0,67.486,
87,Dunston Checks In (1996),Children|Comedy,2.5,7,0,43.9645,
88,Black Sheep (1996),Comedy,3.1562,16,0,56.4015,
89,Nick of Time (1995),Action|Thriller,3.25,10,0,55.8374,
92,Mary Reilly (1996),Drama|Horror|Thriller,2.625,8,1,46.8941,Jekyll and Hyde
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.8333,9,0,49.5932,
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.95,10,0,65.6374,
95,Broken Arrow (1996),Action|Adventure|Thriller,3.0238,84,0,61.4857,
96,In the Bleak Midwinter (1995),Comedy|Drama,3.5,1,1,52.6599,theater
97,"Hate (Haine, La) (1995)",Crime|Drama,3.9,10,0,64.9374,
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,5.0,2,0,74.7361,
100,City Hall (1996),Drama|Thriller,2.7857,14,0,50.6745,
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.7826,23,3,68.0007,crime|off-beat comedy|quirky
102,Mr. Wrong (1996),Comedy,2.4,5,0,41.3243,
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.0,3,0,47.9763,
