movieId,title,genres,avg_rating,bayesian_rating,rating_count,recent_rating_count,tag_count,rating_score,popularity_score,tag_score,freshness_score,comprehensive_score,tags
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209,3.8772,215,6,2,54.2814,18.5383,1.0647,3.5092,77.3937,fun|pixar
2,Jumanji (1995),Adventure|Children|Fantasy,3.4318,3.4447,110,3,4,48.2263,16.2423,1.5598,2.5,68.5284,Robin Williams|fantasy|game|magic board game
3,Grumpier Old Men (1995),Comedy|Romance,3.2596,3.3382,52,0,2,46.7343,13.6928,1.0647,0.0,61.4919,moldy|old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.3571,3.2512,7,0,0,45.517,7.1716,0.0,0.0,52.6886,
5,Father of the Bride Part II (1995),Comedy,3.0714,3.2167,49,0,2,45.0344,13.4918,1.0647,0.0,59.591,pregnancy|remake
6,Heat (1995),Action|Crime|Thriller,3.9461,3.8586,102,1,0,54.02,15.9843,0.0,1.25,71.2544,
7,Sabrina (1995),Comedy|Romance,3.1852,3.2853,54,0,1,45.9942,13.8206,0.6718,0.0,60.4866,remake
8,Tom and Huck (1995),Adventure|Children,2.875,3.3497,8,0,0,46.8953,7.5778,0.0,0.0,54.4731,
9,Sudden Death (1995),Action,3.125,3.3546,16,0,0,46.9645,9.7712,0.0,0.0,56.7357,
10,GoldenEye (1995),Action|Adventure|Thriller,3.4962,3.4971,132,2,0,48.9589,16.8659,0.0,1.9812,67.806,
11,"American President, The (1995)",Comedy|Drama|Romance,3.6714,3.6267,70,1,2,50.7742,14.7012,1.0647,1.25,67.7901,politics|president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.4211,3.035,19,0,0,42.4897,10.3317,0.0,0.0,52.8214,
13,Balto (1995),Adventure|Animation|Children,3.125,3.4103,8,0,0,47.7438,7.5778,0.0,0.0,55.3216,
14,Nixon (1995),Drama,3.8333,3.6404,18,0,2,50.9662,10.1548,1.0647,0.0,62.1857,politics|president
15,Cutthroat Island (1995),Action|Adventure|Romance,3.0,3.33,13,0,0,46.6196,9.1016,0.0,0.0,55.7212,
16,Casino (1995),Crime|Drama,3.9268,3.8275,82,2,1,53.5845,15.2398,0.6718,1.9812,71.4773,Mafia
17,Sense and Sensibility (1995),Drama|Romance,3.7761,3.7015,67,0,1,51.8211,14.5523,0.6718,0.0,67.0452,Jane Austen
18,Four Rooms (1995),Comedy,3.7,3.5898,20,1,0,50.2566,10.5,0.0,1.25,62.0066,
19,Ace Ventura: When Nature Calls (1995),Comedy,2.7273,2.8986,88,0,0,40.58,15.4805,0.0,0.0,56.0605,
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,3.126,15,0,0,43.7636,9.5621,0.0,0.0,53.3258,
21,Get Shorty (1995),Comedy|Crime|Thriller,3.4944,3.496,89,0,1,48.9434,15.519,0.6718,0.0,65.1342,Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222,3.3367,36,1,1,46.7139,12.4534,0.6718,1.25,61.089,serial killer
23,Assassins (1995),Action|Crime|Thriller,3.125,3.3546,16,0,0,46.9645,9.7712,0.0,0.0,56.7357,
24,Powder (1995),Drama|Sci-Fi,3.125,3.3026,28,0,0,46.2367,11.6132,0.0,0.0,57.8499,
25,Leaving Las Vegas (1995),Drama|Romance,3.625,3.5944,76,0,1,50.3222,14.981,0.6718,0.0,65.975,alcoholism
26,Othello (1995),Drama,3.5,3.501,13,0,1,49.0143,9.1016,0.6718,0.0,58.7877,Shakespeare
27,Now and Then (1995),Children|Drama,3.3333,3.457,9,0,0,48.3984,7.9412,0.0,0.0,56.3396,
28,Persuasion (1995),Drama|Romance,4.2273,3.7233,11,0,1,52.1262,8.57,0.6718,0.0,61.368,Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0132,3.8101,38,0,1,53.342,12.6349,0.6718,0.0,66.6487,kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.0,3.4478,3,0,0,48.2695,4.7811,0.0,0.0,53.0505,
31,Dangerous Minds (1995),Drama,3.1842,3.3101,38,1,2,46.342,12.6349,1.0647,1.25,61.2917,high school|teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.9831,3.9235,177,2,8,54.9284,17.871,2.1295,1.9812,76.9101,Brad Pitt|Bruce Willis|Post apocalyptic|mindfuck|post-apocalyptic|remake|time travel|twist ending
34,Babe (1995),Children|Drama,3.6523,3.6277,128,4,3,50.7879,16.7606,1.3436,2.9024,71.7944,Animal movie|pigs|villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,3.8358,3.745,67,0,2,52.4298,14.5523,1.0647,0.0,68.0469,Nun|death penalty
38,It Takes Two (1995),Children|Comedy,2.125,3.3117,4,0,1,46.3636,5.5507,0.6718,0.0,52.5861,twins
39,Clueless (1995),Comedy|Romance,3.2933,3.3336,104,1,7,46.6709,16.0507,2.0153,1.25,65.9869,Emma|Jane Austen|Paul Rudd|chick flick|funny|quotable|seen more than once
40,"Cry, the Beloved Country (1995)",Drama,4.25,3.557,2,0,1,49.798,3.7889,0.6718,0.0,54.2586,South Africa
41,Richard III (1995),Drama|War,3.7,3.576,15,0,1,50.0636,9.5621,0.6718,0.0,60.2975,Shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,3.0,3.3918,7,0,0,47.4858,7.1716,0.0,0.0,54.6574,
