linear_blend_weight,blend_mode,algorithm,backend,device,rmse,precision_at_k,recall_at_k,hit_rate_at_k,map_at_k,catalog_coverage,top_k,users,movies,train_ratings,test_ratings,evaluated_users,candidate_movies,relevant_threshold,empty_users
0.0,value,stacked_linear_hybrid_reranker,torch,cuda,,0.083934,0.036934,0.405446,0.046189,0.088689,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.05,value,stacked_linear_hybrid_reranker,torch,cuda,,0.086293,0.038228,0.413039,0.047891,0.086228,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.1,value,stacked_linear_hybrid_reranker,torch,cuda,,0.088864,0.040333,0.424074,0.049657,0.083199,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.15,value,stacked_linear_hybrid_reranker,torch,cuda,,0.091132,0.041795,0.432476,0.051373,0.080738,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.2,value,stacked_linear_hybrid_reranker,torch,cuda,,0.093511,0.043442,0.440676,0.053154,0.078656,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.25,value,stacked_linear_hybrid_reranker,torch,cuda,,0.09594,0.045261,0.447661,0.055094,0.07629,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.3,value,stacked_linear_hybrid_reranker,torch,cuda,,0.098512,0.047182,0.455963,0.056877,0.073923,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.35,value,stacked_linear_hybrid_reranker,torch,cuda,,0.100699,0.049159,0.463353,0.058437,0.072125,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.4,value,stacked_linear_hybrid_reranker,torch,cuda,,0.10331,0.05107,0.472363,0.060222,0.070611,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.45,value,stacked_linear_hybrid_reranker,torch,cuda,,0.105365,0.052729,0.479348,0.061841,0.069475,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.5,value,stacked_linear_hybrid_reranker,torch,cuda,,0.107653,0.054505,0.490079,0.063265,0.068339,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.55,value,stacked_linear_hybrid_reranker,torch,cuda,,0.109678,0.055895,0.494635,0.06474,0.067014,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.6,value,stacked_linear_hybrid_reranker,torch,cuda,,0.111875,0.057788,0.502227,0.06605,0.066446,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.65,value,stacked_linear_hybrid_reranker,torch,cuda,,0.113657,0.059327,0.507694,0.067283,0.06531,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.7,value,stacked_linear_hybrid_reranker,torch,cuda,,0.115094,0.060855,0.512857,0.068301,0.064837,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.75,value,stacked_linear_hybrid_reranker,torch,cuda,,0.116268,0.061887,0.519133,0.069073,0.064458,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.8,value,stacked_linear_hybrid_reranker,torch,cuda,,0.117615,0.063343,0.525208,0.069779,0.064742,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.85,value,stacked_linear_hybrid_reranker,torch,cuda,,0.119083,0.065053,0.531484,0.070627,0.064458,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.9,value,stacked_linear_hybrid_reranker,torch,cuda,,0.120449,0.066269,0.537153,0.071425,0.064363,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.95,value,stacked_linear_hybrid_reranker,torch,cuda,,0.121492,0.06756,0.544543,0.071754,0.064174,10,10000,15626,1316740,438909,9878,10565,4.0,0
1.0,value,stacked_linear_hybrid_reranker,torch,cuda,,0.122353,0.068159,0.548188,0.072112,0.065026,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.0,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.083934,0.036934,0.405446,0.046189,0.088689,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.05,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.087346,0.039001,0.417696,0.048413,0.082158,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.1,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.090757,0.041653,0.430654,0.050689,0.078751,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.15,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.093217,0.043143,0.439259,0.052548,0.076195,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.2,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.095566,0.044448,0.447257,0.05429,0.07487,10,10000,15626,1316740,438909,9878,10565,4.0,0
0.25,rank,stacked_linear_hybrid_reranker,torch,cuda,,0.097641,0.045921,0.454039,0.055723,0.074207,10,10000,15626,1316740,438909,9878,10565,4.0,0
