feature,weight,mean,std
mf_score,0.111727,0.630847,0.227017
collaborative_score,0.280836,0.063484,0.166056
quality_score,0.306128,0.649397,0.072784
movie_avg_rating,0.020865,0.70075,0.120353
movie_log_count,0.38446,0.446837,0.22551
user_avg_rating,0.023306,0.746984,0.085125
user_log_count,0.063693,0.663224,0.122424
profile_similarity,0.349892,0.506029,0.086503
negative_profile_similarity,0.0,0.0,1.0
signed_profile_similarity,0.0,0.0,1.0
item_item_score,0.0,0.0,1.0
profile_strength,0.006472,0.98231,0.092141
user_positive_rate,0.029133,0.622679,0.16854
movie_year_norm,0.052698,0.871357,0.143711
movie_has_year,0.001962,0.999856,0.012012
year_affinity,0.072776,0.609498,0.245987
recall_surfaced,0.077207,0.192085,0.391281
recall_route_score,-0.002675,0.017823,0.069349
recall_source_count,0.05179,0.068173,0.160436
recall_popular_quality,0.020273,0.032053,0.142381
recall_mf_user_top,-0.040173,0.003533,0.03289
recall_profile_centroid,-0.011913,0.001092,0.014523
recall_item_item_cf,0.0,0.0,1.0
recall_user_user_cf,-0.002184,0.010067,0.047568
recall_year_affinity,-0.022367,0.012214,0.069457
