epoch,loss,residual_rmse,base_residual_rmse,examples,positives,negatives
1,0.07791,0.279124,0.376581,2217222,246358,1970864
2,0.077181,0.277815,0.376581,2217222,246358,1970864
3,0.07677,0.277074,0.376581,2217222,246358,1970864
4,0.076491,0.27657,0.376581,2217222,246358,1970864
5,0.076283,0.276193,0.376581,2217222,246358,1970864
6,0.07612,0.275898,0.376581,2217222,246358,1970864
7,0.075991,0.275664,0.376581,2217222,246358,1970864
8,0.075887,0.275475,0.376581,2217222,246358,1970864
9,0.075803,0.275322,0.376581,2217222,246358,1970864
10,0.075734,0.275197,0.376581,2217222,246358,1970864
11,0.075678,0.275095,0.376581,2217222,246358,1970864
12,0.075631,0.27501,0.376581,2217222,246358,1970864
13,0.075592,0.274939,0.376581,2217222,246358,1970864
14,0.075559,0.274879,0.376581,2217222,246358,1970864
15,0.075531,0.274828,0.376581,2217222,246358,1970864
16,0.075507,0.274785,0.376581,2217222,246358,1970864
17,0.075487,0.274747,0.376581,2217222,246358,1970864
18,0.075469,0.274715,0.376581,2217222,246358,1970864
19,0.075453,0.274686,0.376581,2217222,246358,1970864
20,0.075439,0.274661,0.376581,2217222,246358,1970864
21,0.075427,0.274639,0.376581,2217222,246358,1970864
22,0.075416,0.274619,0.376581,2217222,246358,1970864
23,0.075406,0.274601,0.376581,2217222,246358,1970864
24,0.075397,0.274584,0.376581,2217222,246358,1970864
25,0.075389,0.27457,0.376581,2217222,246358,1970864
26,0.075382,0.274556,0.376581,2217222,246358,1970864
27,0.075375,0.274544,0.376581,2217222,246358,1970864
28,0.075369,0.274532,0.376581,2217222,246358,1970864
29,0.075363,0.274522,0.376581,2217222,246358,1970864
30,0.075358,0.274512,0.376581,2217222,246358,1970864
31,0.075353,0.274504,0.376581,2217222,246358,1970864
32,0.075349,0.274495,0.376581,2217222,246358,1970864
33,0.075344,0.274488,0.376581,2217222,246358,1970864
34,0.075341,0.274481,0.376581,2217222,246358,1970864
35,0.075337,0.274474,0.376581,2217222,246358,1970864
36,0.075334,0.274468,0.376581,2217222,246358,1970864
37,0.07533,0.274462,0.376581,2217222,246358,1970864
38,0.075327,0.274457,0.376581,2217222,246358,1970864
39,0.075325,0.274452,0.376581,2217222,246358,1970864
40,0.075322,0.274447,0.376581,2217222,246358,1970864
41,0.07532,0.274443,0.376581,2217222,246358,1970864
42,0.075318,0.274439,0.376581,2217222,246358,1970864
43,0.075315,0.274435,0.376581,2217222,246358,1970864
44,0.075313,0.274431,0.376581,2217222,246358,1970864
45,0.075312,0.274428,0.376581,2217222,246358,1970864
46,0.07531,0.274425,0.376581,2217222,246358,1970864
47,0.075308,0.274422,0.376581,2217222,246358,1970864
48,0.075307,0.274419,0.376581,2217222,246358,1970864
49,0.075305,0.274416,0.376581,2217222,246358,1970864
50,0.075304,0.274414,0.376581,2217222,246358,1970864
51,0.075302,0.274411,0.376581,2217222,246358,1970864
52,0.075301,0.274409,0.376581,2217222,246358,1970864
53,0.0753,0.274407,0.376581,2217222,246358,1970864
54,0.075299,0.274405,0.376581,2217222,246358,1970864
55,0.075298,0.274403,0.376581,2217222,246358,1970864
56,0.075297,0.274401,0.376581,2217222,246358,1970864
57,0.075296,0.274399,0.376581,2217222,246358,1970864
58,0.075295,0.274398,0.376581,2217222,246358,1970864
59,0.075294,0.274396,0.376581,2217222,246358,1970864
60,0.075294,0.274395,0.376581,2217222,246358,1970864
61,0.075293,0.274393,0.376581,2217222,246358,1970864
62,0.075292,0.274392,0.376581,2217222,246358,1970864
63,0.075291,0.274391,0.376581,2217222,246358,1970864
64,0.075291,0.27439,0.376581,2217222,246358,1970864
65,0.07529,0.274389,0.376581,2217222,246358,1970864
66,0.07529,0.274387,0.376581,2217222,246358,1970864
67,0.075289,0.274386,0.376581,2217222,246358,1970864
68,0.075288,0.274385,0.376581,2217222,246358,1970864
69,0.075288,0.274384,0.376581,2217222,246358,1970864
70,0.075287,0.274384,0.376581,2217222,246358,1970864
71,0.075287,0.274383,0.376581,2217222,246358,1970864
72,0.075287,0.274382,0.376581,2217222,246358,1970864
73,0.075286,0.274381,0.376581,2217222,246358,1970864
74,0.075286,0.27438,0.376581,2217222,246358,1970864
75,0.075285,0.27438,0.376581,2217222,246358,1970864
76,0.075285,0.274379,0.376581,2217222,246358,1970864
77,0.075284,0.274378,0.376581,2217222,246358,1970864
78,0.075284,0.274377,0.376581,2217222,246358,1970864
79,0.075284,0.274377,0.376581,2217222,246358,1970864
80,0.075283,0.274376,0.376581,2217222,246358,1970864
81,0.075283,0.274376,0.376581,2217222,246358,1970864
82,0.075283,0.274375,0.376581,2217222,246358,1970864
83,0.075283,0.274375,0.376581,2217222,246358,1970864
84,0.075282,0.274374,0.376581,2217222,246358,1970864
85,0.075282,0.274373,0.376581,2217222,246358,1970864
86,0.075282,0.274373,0.376581,2217222,246358,1970864
87,0.075281,0.274372,0.376581,2217222,246358,1970864
88,0.075281,0.274372,0.376581,2217222,246358,1970864
89,0.075281,0.274372,0.376581,2217222,246358,1970864
90,0.075281,0.274371,0.376581,2217222,246358,1970864
91,0.07528,0.274371,0.376581,2217222,246358,1970864
92,0.07528,0.27437,0.376581,2217222,246358,1970864
93,0.07528,0.27437,0.376581,2217222,246358,1970864
94,0.07528,0.274369,0.376581,2217222,246358,1970864
95,0.075279,0.274369,0.376581,2217222,246358,1970864
96,0.075279,0.274369,0.376581,2217222,246358,1970864
97,0.075279,0.274368,0.376581,2217222,246358,1970864
98,0.075279,0.274368,0.376581,2217222,246358,1970864
99,0.075279,0.274367,0.376581,2217222,246358,1970864
100,0.075278,0.274367,0.376581,2217222,246358,1970864
101,0.075278,0.274367,0.376581,2217222,246358,1970864
102,0.075278,0.274366,0.376581,2217222,246358,1970864
103,0.075278,0.274366,0.376581,2217222,246358,1970864
104,0.075278,0.274366,0.376581,2217222,246358,1970864
105,0.075278,0.274365,0.376581,2217222,246358,1970864
106,0.075277,0.274365,0.376581,2217222,246358,1970864
107,0.075277,0.274365,0.376581,2217222,246358,1970864
108,0.075277,0.274364,0.376581,2217222,246358,1970864
109,0.075277,0.274364,0.376581,2217222,246358,1970864
110,0.075277,0.274364,0.376581,2217222,246358,1970864
111,0.075277,0.274364,0.376581,2217222,246358,1970864
112,0.075276,0.274363,0.376581,2217222,246358,1970864
113,0.075276,0.274363,0.376581,2217222,246358,1970864
114,0.075276,0.274363,0.376581,2217222,246358,1970864
115,0.075276,0.274362,0.376581,2217222,246358,1970864
116,0.075276,0.274362,0.376581,2217222,246358,1970864
117,0.075276,0.274362,0.376581,2217222,246358,1970864
118,0.075276,0.274362,0.376581,2217222,246358,1970864
119,0.075275,0.274361,0.376581,2217222,246358,1970864
120,0.075275,0.274361,0.376581,2217222,246358,1970864
121,0.075275,0.274361,0.376581,2217222,246358,1970864
122,0.075275,0.274361,0.376581,2217222,246358,1970864
123,0.075275,0.27436,0.376581,2217222,246358,1970864
124,0.075275,0.27436,0.376581,2217222,246358,1970864
125,0.075275,0.27436,0.376581,2217222,246358,1970864
126,0.075274,0.27436,0.376581,2217222,246358,1970864
127,0.075274,0.274359,0.376581,2217222,246358,1970864
128,0.075274,0.274359,0.376581,2217222,246358,1970864
129,0.075274,0.274359,0.376581,2217222,246358,1970864
130,0.075274,0.274359,0.376581,2217222,246358,1970864
131,0.075274,0.274359,0.376581,2217222,246358,1970864
132,0.075274,0.274358,0.376581,2217222,246358,1970864
133,0.075274,0.274358,0.376581,2217222,246358,1970864
134,0.075274,0.274358,0.376581,2217222,246358,1970864
135,0.075273,0.274358,0.376581,2217222,246358,1970864
136,0.075273,0.274358,0.376581,2217222,246358,1970864
137,0.075273,0.274357,0.376581,2217222,246358,1970864
